learner_id,tutoring_type,concept_id,prior_level,question_number,choice
learner_8,no_tutoring,programming-mathematical-formulas,mastered,1,A
learner_8,no_tutoring,variables-and-naming-rules,mastered,2,A
learner_8,no_tutoring,code-comments-in-python,not_started,3,E
learner_8,no_tutoring,formatted-output-in-python,mastered,4,E
learner_8,no_tutoring,arithmetic-expression-evaluation,mastered,5,B
learner_8,no_tutoring,standard-mathematical-functions,not_started,6,A
learner_8,no_tutoring,defining-and-using-functions,mastered,7,A
learner_8,no_tutoring,local-and-global-scope,not_started,8,B
learner_8,no_tutoring,keyword-arguments-and-defaults,confused,9,E
learner_8,no_tutoring,boolean-expressions,not_started,10,C
learner_8,no_tutoring,loops-in-python,not_started,11,B
learner_8,no_tutoring,the-while-loop,mastered,12,A
learner_8,no_tutoring,lists-in-python,mastered,13,A
learner_8,no_tutoring,for-loops-and-list-iteration,not_started,14,B
learner_8,no_tutoring,list-comprehensions,not_started,15,B
learner_8,vanilla,programming-mathematical-formulas,mastered,1,A
learner_8,vanilla,variables-and-naming-rules,mastered,2,A
learner_8,vanilla,code-comments-in-python,not_started,3,A
learner_8,vanilla,formatted-output-in-python,mastered,4,A
learner_8,vanilla,arithmetic-expression-evaluation,mastered,5,A
learner_8,vanilla,standard-mathematical-functions,not_started,6,A
learner_8,vanilla,defining-and-using-functions,mastered,7,A
learner_8,vanilla,local-and-global-scope,not_started,8,A
learner_8,vanilla,keyword-arguments-and-defaults,confused,9,A
learner_8,vanilla,boolean-expressions,not_started,10,A
learner_8,vanilla,loops-in-python,not_started,11,B
learner_8,vanilla,the-while-loop,mastered,12,A
learner_8,vanilla,lists-in-python,mastered,13,E
learner_8,vanilla,for-loops-and-list-iteration,not_started,14,C
learner_8,vanilla,list-comprehensions,not_started,15,B
learner_8,atlas,programming-mathematical-formulas,mastered,1,A
learner_8,atlas,variables-and-naming-rules,mastered,2,A
learner_8,atlas,code-comments-in-python,not_started,3,A
learner_8,atlas,formatted-output-in-python,mastered,4,A
learner_8,atlas,arithmetic-expression-evaluation,mastered,5,A
learner_8,atlas,standard-mathematical-functions,not_started,6,A
learner_8,atlas,defining-and-using-functions,mastered,7,A
learner_8,atlas,local-and-global-scope,not_started,8,A
learner_8,atlas,keyword-arguments-and-defaults,confused,9,A
learner_8,atlas,boolean-expressions,not_started,10,A
learner_8,atlas,loops-in-python,not_started,11,D
learner_8,atlas,the-while-loop,mastered,12,A
learner_8,atlas,lists-in-python,mastered,13,A
learner_8,atlas,for-loops-and-list-iteration,not_started,14,A
learner_8,atlas,list-comprehensions,not_started,15,A
